# 
1.45012 0.0124844
1.34803 0
1.25058 0.274657
1.14385 0.287141
1.0464 0.474407
0.944316 0.674157
0.837587 0.911361
0.740139 1.14856
0.642691 1.39825
0.540603 1.74782
0.447796 2.02247
0.345708 2.30961
0.24826 2.48439
0.146172 2.70911
0.0487239 2.8839
-0.0580046 3.05868
-0.155452 3.25843
-0.2529 3.43321
-0.354988 3.59551
-0.452436 3.77029
-0.549884 3.9201
-0.656613 4.0824
-0.75406 4.23221
-0.851508 4.39451
-0.953596 4.59426
-1.05568 4.83146
-1.15777 5.10612
-1.25522 5.43071
-1.35267 5.83021
-1.45476 6.17978
-1.55684 6.52934
-1.65429 6.86642
-1.75174 7.22846
-1.85383 7.52809
-1.95592 7.76529
-2.05336 8.02747
-2.16473 8.25218
-2.26682 8.41448
-2.35499 8.68914
-2.45708 8.88889
-2.55916 9.17603

